Transaction_ID,Customer_ID,Brand,Purchase_Amount,Cashback,Payment_Method,Transaction_Count,Fraud
T200069,C102955,Uber,1441,247,UPI,3,0
T200070,C111092,Swiggy,9470,248,UPI,1,0
T200071,C121532,Flipkart,8692,244,Debit Card,1,0
T200072,C114563,Ajio,5784,449,Credit Card,1,0
T200073,C111370,Ajio,2721,5,Credit Card,1,0
T200074,C122244,Uber,3975,438,UPI,2,0
T200075,C122003,Nykaa,4989,109,Debit Card,3,0
T200076,C123699,Swiggy,1841,237,Net Banking,2,0
T200077,C111957,Myntra,7336,94,UPI,1,0
T200078,C111823,Uber,2184,356,UPI,1,0
T200079,C103690,Ajio,4680,302,UPI,1,0
T200080,C100695,Uber,6675,25,Credit Card,4,0
T200081,C102536,Ajio,4408,58,Debit Card,2,0
T200082,C107329,Flipkart,1550,241,Credit Card,3,0
T200083,C100771,Swiggy,2591,356,Net Banking,1,0
T200084,C102527,PVR,606,286,UPI,1,0
T200085,C112008,Nykaa,1101,30,UPI,3,0
T200086,C123061,Flipkart,4315,298,Net Banking,3,0
T200087,C122535,Amazon,2783,364,Debit Card,2,0
T200088,C119174,Nykaa,2553,189,Net Banking,1,0
T200089,C118781,Ajio,6547,95,Net Banking,3,0
T200090,C118545,MakeMyTrip,7610,231,Net Banking,3,0
T200091,C107304,Uber,2052,322,UPI,1,0
T200092,C122361,Ajio,6593,416,Credit Card,2,0
T200093,C100425,Zomato,3106,10,Net Banking,2,0
T200094,C100122,Swiggy,4171,191,Debit Card,4,0
T200095,C104149,Flipkart,1715,394,Debit Card,1,0
T200096,C115690,Ajio,830,373,UPI,4,0
T200097,C114200,Myntra,8845,146,UPI,1,0
T200098,C101432,Swiggy,8227,164,Debit Card,1,0
T200099,C106241,Zomato,2655,292,UPI,5,0
T200100,C101114,Nykaa,9517,345,Net Banking,1,1
T200101,C113833,Swiggy,8034,411,Debit Card,2,0
T200102,C112529,Ajio,5807,261,Credit Card,2,0
T200103,C105060,Zomato,3492,90,Net Banking,3,0
T200104,C116779,Ajio,7131,109,Net Banking,3,0
T200105,C102311,Myntra,4910,37,Net Banking,2,0
T200106,C116069,Uber,9581,306,Credit Card,2,1
T200107,C104439,Myntra,862,451,Net Banking,1,0
T200108,C122272,Zomato,7858,158,Credit Card,2,0
T200109,C102860,Nykaa,1196,375,Debit Card,1,0
T200110,C116558,Myntra,1744,108,Debit Card,1,0
T200111,C121693,Nykaa,4986,21,Net Banking,1,0
T200112,C102262,PVR,2859,298,Debit Card,1,0
T200113,C119875,Flipkart,8941,322,UPI,2,0
T200114,C116423,Nykaa,4265,144,Credit Card,1,0
T200115,C113382,Amazon,6895,221,UPI,2,0
T200116,C103290,Zomato,2796,134,Net Banking,1,0
T200117,C102412,PVR,2416,412,Debit Card,4,0
T200118,C103808,PVR,6158,332,Debit Card,3,0
T200119,C107352,Zomato,162,128,Net Banking,1,0
T200120,C110383,Uber,8923,191,Debit Card,1,0
T200121,C123946,Amazon,3461,94,Debit Card,1,0
T200122,C104789,Nykaa,6910,166,Net Banking,4,0
T200123,C101406,Amazon,607,403,UPI,3,0
T200124,C119359,MakeMyTrip,3578,453,Net Banking,1,0
T200125,C123255,Zomato,934,434,Credit Card,1,0
T200126,C111208,Flipkart,1237,220,Credit Card,2,0
T200127,C104797,Flipkart,139,165,Debit Card,4,0
T200128,C120835,PVR,7730,379,Net Banking,1,0
T200129,C113574,PVR,6089,476,Net Banking,1,0
T200130,C113874,Amazon,3153,450,Net Banking,1,0
T200131,C112166,Uber,6874,130,Credit Card,1,0
T200132,C113780,MakeMyTrip,5829,444,Credit Card,3,0
T200133,C101147,MakeMyTrip,6800,1,Credit Card,1,0
T200134,C105243,MakeMyTrip,3579,164,UPI,3,0
T200135,C122182,MakeMyTrip,1862,488,UPI,1,0
T200136,C100716,MakeMyTrip,5041,275,Net Banking,4,0
T200137,C119619,Flipkart,9157,493,Debit Card,2,0
T200138,C109543,Uber,388,50,Debit Card,2,0
T200139,C112783,Myntra,3098,487,Debit Card,1,0
T200140,C105226,Amazon,8140,302,UPI,3,0
T200141,C121859,Myntra,5489,180,Credit Card,1,0
T200142,C109404,MakeMyTrip,8082,163,Net Banking,2,0
T200143,C103950,MakeMyTrip,3039,364,Credit Card,1,0
T200144,C111385,Uber,2870,6,Credit Card,2,0
T200145,C124811,Flipkart,1541,156,Net Banking,3,0
T200146,C116406,Myntra,2500,97,Credit Card,1,0
T200147,C114326,Uber,4198,156,UPI,1,0
T200148,C117125,Swiggy,3448,76,Credit Card,2,0
T200149,C124860,Flipkart,6929,387,Credit Card,1,0
T200150,C111697,Nykaa,5375,256,Debit Card,2,0
T200151,C106807,Amazon,8094,434,Debit Card,3,0
T200152,C111413,MakeMyTrip,9539,165,Debit Card,4,1
T200153,C124768,Nykaa,5586,397,Net Banking,4,0
T200154,C104978,Uber,8223,33,Debit Card,2,0
T200155,C102083,Amazon,4386,309,Credit Card,4,0
T200156,C108937,MakeMyTrip,9154,444,UPI,2,0
T200157,C124087,Ajio,4259,435,Debit Card,2,0
T200158,C106566,Uber,5589,118,Net Banking,2,0
T200159,C122687,Flipkart,7127,244,UPI,2,0
T200160,C120222,PVR,2704,144,Debit Card,3,0
T200161,C121177,Nykaa,9100,366,UPI,3,0
T200162,C120021,Uber,7343,496,Net Banking,2,0
T200163,C123455,Amazon,6964,143,Debit Card,2,0
T200164,C121244,Zomato,5492,487,Debit Card,5,0
T200165,C108457,Ajio,7015,456,Credit Card,1,0
T200166,C110296,MakeMyTrip,1596,396,Credit Card,2,0
T200167,C119659,Ajio,4160,404,Debit Card,4,0
T200168,C110318,Myntra,7030,195,Net Banking,2,0
T200169,C106907,PVR,5415,73,Credit Card,2,0
T200170,C106525,Zomato,6237,10,UPI,1,0
T200171,C100820,Flipkart,3648,327,Credit Card,2,0
T200172,C109804,Flipkart,9360,378,Net Banking,1,0
T200173,C123794,MakeMyTrip,8567,138,Net Banking,2,0
T200174,C119242,PVR,9507,365,Debit Card,3,1
T200175,C123680,Nykaa,2638,86,Debit Card,1,0
T200176,C110833,Nykaa,343,131,Credit Card,2,0
T200177,C101318,Nykaa,631,363,UPI,2,0
T200178,C114219,Uber,6786,275,Net Banking,1,0
T200179,C122705,Zomato,6858,446,UPI,3,0
T200180,C124555,Nykaa,7765,344,Credit Card,1,0
T200181,C108584,PVR,298,23,Credit Card,1,0
T200182,C112931,Uber,8847,344,UPI,3,0
T200183,C119831,Myntra,8252,255,Net Banking,3,0
T200184,C122524,Amazon,9800,391,Credit Card,4,1
T200185,C106362,Myntra,7352,386,Net Banking,2,0
T200186,C118011,Uber,6298,4,UPI,2,0
T200187,C124599,Uber,9151,359,Net Banking,1,0
T200188,C110236,Myntra,2953,455,UPI,1,0
T200189,C119899,Flipkart,1089,228,UPI,1,0
T200190,C106397,Flipkart,3128,251,Debit Card,2,0
T200191,C111931,Uber,8883,55,Net Banking,3,0
T200192,C118323,Myntra,6348,464,Net Banking,3,0
T200193,C119296,Uber,6351,246,Credit Card,3,0
T200194,C107709,Ajio,9099,232,Debit Card,1,0
T200195,C105570,Flipkart,2302,26,Debit Card,1,0
T200196,C106802,Uber,2246,439,Debit Card,4,0
T200197,C122676,Myntra,3536,99,Net Banking,1,0
T200198,C109492,Flipkart,8653,66,Credit Card,2,0
T200199,C109555,Amazon,9006,408,UPI,3,0
T200200,C113055,Zomato,6529,428,Net Banking,2,0
T200201,C121814,MakeMyTrip,9456,428,Debit Card,2,0
T200202,C112064,PVR,9365,325,Net Banking,2,0
T200203,C123973,Myntra,2275,209,Net Banking,1,0
T200204,C122024,Zomato,8657,118,Credit Card,2,0
T200205,C106193,MakeMyTrip,3001,34,UPI,1,0
T200206,C114942,Amazon,9442,32,Net Banking,1,0
T200207,C112319,Uber,1521,86,Credit Card,2,0
T200208,C109256,MakeMyTrip,7122,439,Debit Card,3,0
T200209,C108086,Swiggy,922,233,Net Banking,1,0
T200210,C122230,Myntra,3527,186,Credit Card,3,0
T200211,C119753,Swiggy,3236,399,Credit Card,2,0
T200212,C108079,Amazon,6447,275,UPI,1,0
T200213,C104574,Nykaa,4211,142,Credit Card,2,0
T200214,C115278,MakeMyTrip,8173,66,Net Banking,2,0
T200215,C105545,Uber,9262,173,Credit Card,4,0
T200216,C123195,Ajio,3996,337,Net Banking,1,0
T200217,C105060,Ajio,1837,210,Debit Card,3,0
T200218,C120121,Myntra,6302,483,Debit Card,3,0
T200219,C116819,Myntra,3363,263,Net Banking,1,0
T200220,C116474,Flipkart,1679,48,UPI,5,0
T200221,C117372,Ajio,260,398,Net Banking,1,0
T200222,C101871,Uber,7613,380,Credit Card,2,0
T200223,C112471,Ajio,5108,282,Net Banking,1,0
T200224,C115321,Nykaa,3901,204,Debit Card,1,0
T200225,C104103,Ajio,3224,249,UPI,1,0
T200226,C113514,MakeMyTrip,1145,241,Credit Card,1,0
T200227,C111522,PVR,7595,423,Debit Card,3,0
T200228,C118241,Uber,422,401,Net Banking,1,0
T200229,C119840,Swiggy,2402,142,Debit Card,2,0
T200230,C106483,Nykaa,8304,132,Debit Card,2,0
T200231,C118398,MakeMyTrip,4183,333,UPI,4,0
T200232,C123217,Ajio,1040,94,Net Banking,2,0
T200233,C104687,Uber,3145,118,Net Banking,1,0
T200234,C100815,Ajio,1886,247,Debit Card,2,0
T200235,C101986,Flipkart,1418,247,Net Banking,1,0
T200236,C112286,Uber,3117,382,Debit Card,2,0
T200237,C112582,Uber,1291,17,UPI,2,0
T200238,C113125,Swiggy,7190,171,UPI,1,0
T200239,C124554,Amazon,5184,366,Debit Card,2,0
T200240,C121579,Flipkart,5569,289,Credit Card,1,0
T200241,C112097,MakeMyTrip,5830,403,Debit Card,3,0
T200242,C122904,Zomato,605,71,Credit Card,4,0
T200243,C118510,Amazon,4682,453,Credit Card,2,0
T200244,C111646,Swiggy,4112,311,Credit Card,1,0
T200245,C105792,Uber,8904,203,Debit Card,1,0
T200246,C117946,Swiggy,6701,382,Debit Card,2,0
T200247,C119633,Zomato,6462,370,Debit Card,2,0
T200248,C122871,Ajio,1841,374,Debit Card,3,0
T200249,C124154,MakeMyTrip,6701,472,Net Banking,2,0
T200250,C117522,Amazon,773,204,Credit Card,5,0
T200251,C107262,Amazon,8826,389,Net Banking,1,0
T200252,C113254,PVR,6098,49,Credit Card,3,0
T200253,C119965,Nykaa,3879,424,Net Banking,3,0
T200254,C117433,Zomato,5400,370,Credit Card,1,0
T200255,C116636,Uber,446,259,Credit Card,1,0
T200256,C118581,Myntra,7733,334,Credit Card,1,0
T200257,C102497,Swiggy,4743,478,Debit Card,1,0
T200258,C120879,Swiggy,8532,56,Net Banking,1,0
T200259,C119736,Swiggy,9427,287,Credit Card,2,0
T200260,C110127,Amazon,2949,50,Net Banking,3,0
T200261,C113560,MakeMyTrip,3837,293,UPI,3,0
T200262,C102390,Uber,8090,216,Debit Card,1,0
T200263,C120003,Uber,674,338,UPI,3,0
T200264,C120464,PVR,425,293,Net Banking,2,0
T200265,C117677,Uber,8081,281,UPI,1,0
T200266,C106951,Myntra,8840,122,Net Banking,3,0
T200267,C109480,Nykaa,890,464,UPI,1,0
T200268,C111633,Uber,8271,25,Net Banking,2,0
T200269,C110617,MakeMyTrip,9168,317,Debit Card,2,0
T200270,C118988,Ajio,7786,63,Credit Card,1,0
T200271,C111264,PVR,3599,108,Credit Card,2,0
T200272,C105076,Zomato,3602,121,Net Banking,2,0
T200273,C124988,Myntra,7860,429,Credit Card,2,0
T200274,C113959,Amazon,4847,443,Credit Card,2,0
T200275,C113330,Amazon,7869,266,Net Banking,3,0
T200276,C108183,MakeMyTrip,683,38,UPI,2,0
T200277,C103886,Ajio,5228,300,Credit Card,2,0
T200278,C123010,Zomato,3907,291,UPI,1,0
T200279,C106775,Flipkart,8811,18,Credit Card,1,0
T200280,C109754,Swiggy,2943,25,UPI,2,0
T200281,C122228,Swiggy,3078,245,Debit Card,2,0
T200282,C110198,Swiggy,1144,477,Debit Card,2,0
T200283,C116234,Myntra,6276,419,Credit Card,1,0
T200284,C109421,Zomato,6185,204,Net Banking,2,0
T200285,C118635,Flipkart,173,199,Net Banking,3,0
T200286,C106779,Flipkart,2908,180,Debit Card,1,0
T200287,C108629,Amazon,8217,152,Net Banking,1,0
T200288,C120065,Swiggy,4913,293,Net Banking,2,0
T200289,C119638,PVR,2533,473,Net Banking,2,0
T200290,C119910,Ajio,7172,403,UPI,1,0
T200291,C105380,Ajio,330,419,Debit Card,4,0
T200292,C123266,Zomato,9587,430,Credit Card,3,1
T200293,C121464,PVR,8085,224,Net Banking,1,0
T200294,C122621,Flipkart,1680,365,Credit Card,3,0
T200295,C109129,Nykaa,2438,437,UPI,2,0
T200296,C106087,Myntra,5504,54,Net Banking,2,0
T200297,C118533,PVR,7824,179,Net Banking,1,0
T200298,C107323,Amazon,4447,256,Credit Card,1,0
T200299,C110123,Zomato,8896,203,Credit Card,2,0
T200300,C114508,Swiggy,6240,372,Net Banking,2,0
T200301,C103873,Flipkart,5328,212,Debit Card,4,0
T200302,C106750,Swiggy,5765,57,Credit Card,1,0
T200303,C124310,PVR,9165,312,Debit Card,2,0
T200304,C105972,Amazon,1528,7,UPI,1,0
T200305,C110703,PVR,3444,384,UPI,4,0
T200306,C122743,MakeMyTrip,6809,207,Debit Card,1,0
T200307,C112473,Amazon,1401,467,Debit Card,3,0
T200308,C104876,Uber,1134,305,Net Banking,3,0
T200309,C101288,Amazon,937,381,Credit Card,4,0
T200310,C114060,PVR,7887,154,Net Banking,2,0
T200311,C122382,PVR,4204,212,UPI,1,0
T200312,C109543,MakeMyTrip,4945,163,Credit Card,2,0
T200313,C112758,Uber,5170,472,UPI,1,0
T200314,C100048,MakeMyTrip,1886,412,Credit Card,1,0
T200315,C115497,MakeMyTrip,946,181,Debit Card,1,0
T200316,C103176,Ajio,3429,466,Net Banking,3,0
T200317,C117015,Myntra,8288,239,UPI,2,0
T200318,C108144,Ajio,2312,248,UPI,2,0
T200319,C109520,PVR,9833,29,Credit Card,3,1
T200320,C120146,Ajio,2876,332,Net Banking,2,0
T200321,C104274,Uber,2927,86,UPI,2,0
T200322,C124074,Myntra,9105,403,Debit Card,1,0
T200323,C109031,Nykaa,9732,350,Net Banking,2,1
T200324,C122420,PVR,7244,285,Credit Card,2,0
T200325,C113296,PVR,310,496,Net Banking,2,0
T200326,C118400,Amazon,6331,323,Credit Card,3,0
T200327,C123345,Zomato,3265,352,UPI,1,0
T200328,C117862,Nykaa,2898,205,Debit Card,1,0
T200329,C102920,Ajio,9440,243,Credit Card,4,0
T200330,C101240,Amazon,8451,265,UPI,1,0
T200331,C123560,Ajio,2753,87,Credit Card,1,0
T200332,C121157,Myntra,5876,463,Net Banking,1,0
T200333,C120148,Amazon,2295,83,Net Banking,1,0
T200334,C108431,Uber,1942,176,Net Banking,2,0
T200335,C111005,Zomato,7512,490,Debit Card,2,0
T200336,C109301,Zomato,7799,495,UPI,1,0
T200337,C124759,Flipkart,8295,311,Debit Card,2,0
T200338,C113997,Zomato,281,199,UPI,4,0
T200339,C100752,Ajio,3094,300,UPI,1,0
T200340,C103475,Ajio,7790,432,UPI,2,0
T200341,C106361,Uber,5837,409,Debit Card,1,0
T200342,C101316,Ajio,4939,464,UPI,1,0
T200343,C108611,Myntra,9055,294,Debit Card,1,0
T200344,C105749,Nykaa,6581,437,Credit Card,2,0
T200345,C108006,Swiggy,9076,149,Debit Card,2,0
T200346,C123242,PVR,9092,462,Debit Card,2,0
T200347,C122442,Ajio,9802,84,Net Banking,3,1
T200348,C124951,Uber,9178,438,UPI,3,0
T200349,C122391,Myntra,1620,52,Credit Card,1,0
T200350,C117204,Nykaa,2688,393,Net Banking,2,0
T200351,C122199,Myntra,3234,241,Credit Card,1,0
T200352,C116299,Swiggy,588,474,UPI,3,0
T200353,C104290,Myntra,7795,112,Credit Card,5,0
T200354,C118795,Zomato,6413,129,UPI,1,0
T200355,C100546,Myntra,7208,341,Credit Card,4,0
T200356,C100384,Nykaa,386,383,Debit Card,1,0
T200357,C113993,Zomato,7662,454,Credit Card,3,0
T200358,C105088,PVR,2277,286,Credit Card,1,0
T200359,C118457,Uber,3121,202,Credit Card,1,0
T200360,C103946,Swiggy,9862,220,UPI,1,1
T200361,C104719,Swiggy,4904,19,UPI,3,0
T200362,C113655,Amazon,7391,375,Net Banking,2,0
T200363,C116376,Swiggy,7475,425,Credit Card,3,0
T200364,C106754,Nykaa,2868,192,Debit Card,2,0
T200365,C118620,Uber,1236,187,Net Banking,1,0
T200366,C105756,Ajio,7660,86,Credit Card,3,0
T200367,C124935,Ajio,3138,279,Net Banking,2,0
T200368,C101402,Flipkart,5787,338,UPI,4,0
T200369,C120652,Zomato,2137,244,Net Banking,1,0
T200370,C102639,Swiggy,1758,304,Credit Card,2,0
T200371,C104713,Zomato,773,28,UPI,2,0
T200372,C111632,Uber,996,416,Credit Card,1,0
T200373,C124674,Flipkart,3188,121,Credit Card,4,0
T200374,C101101,MakeMyTrip,9179,357,Credit Card,1,0
T200375,C115545,PVR,453,22,Net Banking,2,0
T200376,C103986,PVR,2707,145,UPI,1,0
T200377,C114457,Uber,8148,183,Credit Card,3,0
T200378,C113001,Swiggy,170,183,UPI,1,0
T200379,C116820,Flipkart,9484,121,Net Banking,1,0
T200380,C117305,Nykaa,4542,384,Credit Card,1,0
T200381,C110125,Flipkart,6560,96,Debit Card,3,0
T200382,C117295,Ajio,7957,464,UPI,4,0
T200383,C103101,Nykaa,9529,43,Credit Card,1,1
T200384,C118376,PVR,8727,243,Credit Card,1,0
T200385,C124204,MakeMyTrip,1985,382,Net Banking,1,0
T200386,C103174,Uber,5085,40,UPI,2,0
T200387,C116448,Nykaa,5508,252,Credit Card,2,0
T200388,C112662,Swiggy,9900,384,Credit Card,1,1
T200389,C116614,Amazon,7645,152,Credit Card,1,0
T200390,C122817,Amazon,1449,324,Net Banking,1,0
T200391,C109536,Amazon,4834,413,Credit Card,1,0
T200392,C109832,Flipkart,5650,58,Debit Card,1,0
T200393,C105289,PVR,8099,483,Credit Card,3,0
T200394,C114148,Nykaa,7157,282,Net Banking,1,0
T200395,C121926,MakeMyTrip,8655,121,Credit Card,2,0
T200396,C103039,Myntra,6597,96,Debit Card,1,0
T200397,C122729,Nykaa,1415,182,Net Banking,1,0
T200398,C114073,PVR,1021,270,Credit Card,3,0
T200399,C113346,Zomato,4752,150,Net Banking,2,0
T200400,C100734,MakeMyTrip,5160,313,Debit Card,3,0
T200401,C106187,Flipkart,1200,388,Net Banking,3,0
T200402,C107667,MakeMyTrip,1914,63,Net Banking,3,0
T200403,C102863,Uber,6818,52,Credit Card,2,0
T200404,C110033,MakeMyTrip,6920,229,UPI,1,0
T200405,C105615,Ajio,9699,303,Credit Card,4,1
T200406,C111220,Swiggy,6525,434,Net Banking,1,0
T200407,C108009,Flipkart,781,243,Net Banking,4,0
T200408,C111354,Nykaa,9227,470,UPI,5,0
T200409,C110016,Swiggy,2072,53,Net Banking,3,0
T200410,C101551,Flipkart,8281,439,Net Banking,1,0
T200411,C113060,Amazon,4052,169,UPI,1,0
T200412,C122231,MakeMyTrip,331,56,Debit Card,5,0
T200413,C114763,Myntra,6833,279,Credit Card,2,0
T200414,C103183,Flipkart,5469,420,UPI,2,0
T200415,C114554,Swiggy,289,192,UPI,2,0
T200416,C108461,Myntra,1080,406,Debit Card,1,0
T200417,C113176,Flipkart,3935,353,UPI,4,0
T200418,C109551,Zomato,8079,185,UPI,1,0
T200419,C108028,Amazon,7778,473,Debit Card,2,0
T200420,C122478,Uber,263,133,Debit Card,2,0
T200421,C116853,Amazon,7527,438,Debit Card,3,0
T200422,C110090,Nykaa,9976,40,Debit Card,2,1
T200423,C122328,Zomato,2136,423,Debit Card,1,0
T200424,C100069,MakeMyTrip,2188,413,Debit Card,3,0
T200425,C102170,Nykaa,1629,339,UPI,1,0
T200426,C109842,Myntra,7635,438,UPI,2,0
T200427,C110030,Flipkart,412,300,Credit Card,2,0
T200428,C103674,Flipkart,7973,44,UPI,3,0
T200429,C108028,Uber,8841,147,Debit Card,2,0
T200430,C120716,Swiggy,9397,328,Credit Card,2,0
T200431,C119675,Ajio,5269,311,UPI,2,0
T200432,C114482,MakeMyTrip,1342,287,Debit Card,2,0
T200433,C115421,MakeMyTrip,351,482,Credit Card,3,0
T200434,C109865,Zomato,5924,362,Net Banking,1,0
T200435,C120535,Flipkart,5796,324,Credit Card,3,0
T200436,C112042,Ajio,6799,342,UPI,2,0
T200437,C114571,Amazon,1775,373,Credit Card,3,0
T200438,C108797,Ajio,4296,317,Debit Card,1,0
T200439,C108003,Zomato,6552,479,Credit Card,2,0
T200440,C116015,MakeMyTrip,800,170,Debit Card,3,0
T200441,C102747,Uber,3469,260,Credit Card,3,0
T200442,C118482,Nykaa,6417,179,Credit Card,3,0
T200443,C105247,Swiggy,4404,30,Debit Card,1,0
T200444,C117634,Zomato,3676,466,Debit Card,3,0
T200445,C100904,Uber,243,154,Credit Card,1,0
T200446,C105040,MakeMyTrip,7115,177,Debit Card,1,0
T200447,C103363,MakeMyTrip,2913,160,Credit Card,3,0
T200448,C101288,PVR,8400,351,Credit Card,4,0
T200449,C117695,Uber,8105,424,UPI,2,0
T200450,C100749,Nykaa,6777,340,Credit Card,1,0
T200451,C105944,Uber,9275,126,Debit Card,1,0
T200452,C116729,PVR,1926,201,Net Banking,5,0
T200453,C123595,Flipkart,8396,30,UPI,2,0
T200454,C109362,Amazon,8490,465,Credit Card,1,0
T200455,C100884,Ajio,7512,133,Net Banking,3,0
T200456,C105443,Flipkart,1922,350,Credit Card,1,0
T200457,C101343,Myntra,1252,258,Net Banking,1,0
T200458,C123646,Zomato,6903,162,Net Banking,2,0
T200459,C102700,MakeMyTrip,1464,159,UPI,1,0
T200460,C101711,Nykaa,6444,158,UPI,2,0
T200461,C100627,Myntra,9043,154,Debit Card,2,0
T200462,C121931,Flipkart,4587,182,UPI,2,0
T200463,C101455,Uber,2757,265,Credit Card,2,0
T200464,C103783,Zomato,2121,270,Debit Card,2,0
T200465,C124546,Uber,1395,341,Credit Card,2,0
T200466,C100063,Ajio,4890,31,UPI,3,0
T200467,C102429,Myntra,1149,8,Credit Card,2,0
T200468,C123580,MakeMyTrip,3256,440,Debit Card,3,0
T200469,C118929,Myntra,7880,447,Credit Card,2,0
T200470,C103399,Myntra,9136,412,UPI,1,0
T200471,C110248,Amazon,4625,341,Credit Card,3,0
T200472,C110460,MakeMyTrip,1433,353,Net Banking,1,0
T200473,C117942,PVR,352,151,Net Banking,5,0
T200474,C109115,Zomato,921,79,UPI,2,0
T200475,C124811,Ajio,9016,94,Debit Card,3,0
T200476,C105774,Flipkart,2481,407,Net Banking,3,0
T200477,C107737,Zomato,3372,242,UPI,1,0
T200478,C120903,PVR,5905,295,Debit Card,2,0
T200479,C120625,Amazon,7614,489,UPI,1,0
T200480,C119913,PVR,8420,181,Debit Card,1,0
T200481,C111905,Flipkart,1167,406,Net Banking,2,0
T200482,C104817,Swiggy,5863,468,Net Banking,1,0
T200483,C113545,PVR,642,34,Net Banking,3,0
T200484,C101842,PVR,4978,87,Credit Card,2,0
T200485,C118338,Uber,5732,379,Net Banking,3,0
T200486,C124457,Flipkart,5931,262,Debit Card,1,0
T200487,C114867,Flipkart,4178,187,Debit Card,2,0
T200488,C124120,MakeMyTrip,7006,117,Net Banking,1,0
T200489,C101676,Nykaa,8574,132,Net Banking,3,0
T200490,C104724,Myntra,1021,128,Credit Card,4,0
T200491,C106679,PVR,5541,364,Net Banking,3,0
T200492,C100937,PVR,1136,239,Debit Card,3,0
T200493,C121438,PVR,1089,202,Debit Card,1,0
T200494,C121618,PVR,6954,102,Credit Card,1,0
T200495,C106957,PVR,6842,484,UPI,4,0
T200496,C110172,Nykaa,5131,140,UPI,1,0
