Customer_ID,Age,City,State,Income_Bracket,Registration_Year,total_transactions,total_spent,average_purchase,total_sessions,total_pages_visited,total_earned_points,total_redeemed_points
C100110,39,Nagpur,Gujarat,Low,2023,0.0,0.0,0.0,2.0,31.0,0.0,0.0
C100111,44,Kolkata,Rajasthan,Medium,2023,2.0,18311.0,9155.5,0.0,0.0,241.0,158.0
C100112,52,Kolkata,Rajasthan,High,2024,1.0,9055.0,9055.0,0.0,0.0,0.0,0.0
C100113,18,Chennai,West Bengal,Medium,2022,1.0,1356.0,1356.0,2.0,29.0,978.0,15.0
C100114,52,Hyderabad,Rajasthan,Medium,2022,0.0,0.0,0.0,1.0,20.0,504.0,386.0
C100115,54,Bengaluru,Delhi,High,2024,2.0,15016.0,7508.0,0.0,0.0,551.0,242.0
C100116,31,Ahmedabad,Rajasthan,Low,2024,0.0,0.0,0.0,0.0,0.0,811.0,828.0
C100117,20,Kolkata,Delhi,Medium,2025,0.0,0.0,0.0,1.0,20.0,48.0,86.0
C100118,18,Nagpur,Gujarat,Low,2023,1.0,6939.0,6939.0,1.0,14.0,240.0,327.0
C100119,22,Pune,Maharashtra,High,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100120,43,Chennai,Maharashtra,Medium,2023,1.0,7748.0,7748.0,1.0,20.0,191.0,495.0
C100121,31,Mumbai,Maharashtra,Medium,2024,0.0,0.0,0.0,2.0,20.0,978.0,431.0
C100122,56,Bengaluru,Maharashtra,Medium,2022,4.0,21076.0,5269.0,2.0,22.0,222.0,104.0
C100123,44,Hyderabad,West Bengal,Medium,2024,1.0,9828.0,9828.0,1.0,11.0,2631.0,791.0
C100124,26,Ahmedabad,Rajasthan,Low,2024,2.0,11896.0,5948.0,0.0,0.0,960.0,749.0
C100125,32,Chennai,Maharashtra,Low,2025,2.0,9694.0,4847.0,0.0,0.0,888.0,40.0
C100126,32,Mumbai,Rajasthan,High,2025,1.0,2127.0,2127.0,2.0,39.0,773.0,132.0
C100127,43,Hyderabad,West Bengal,Low,2022,0.0,0.0,0.0,1.0,24.0,0.0,0.0
C100128,59,Hyderabad,West Bengal,Medium,2023,0.0,0.0,0.0,0.0,0.0,1772.0,642.0
C100129,30,Chennai,Tamil Nadu,High,2025,1.0,9396.0,9396.0,1.0,15.0,1406.0,426.0
C100130,49,Pune,Gujarat,Medium,2024,0.0,0.0,0.0,0.0,0.0,803.0,431.0
C100131,56,Ahmedabad,Tamil Nadu,Medium,2024,0.0,0.0,0.0,1.0,18.0,1276.0,209.0
C100132,49,Delhi,Rajasthan,High,2024,2.0,11930.0,5965.0,0.0,0.0,0.0,0.0
C100133,21,Hyderabad,Maharashtra,Medium,2023,0.0,0.0,0.0,2.0,25.0,2501.0,1182.0
C100134,47,Kolkata,West Bengal,Medium,2023,0.0,0.0,0.0,1.0,2.0,0.0,0.0
C100135,54,Delhi,Delhi,High,2023,1.0,2559.0,2559.0,1.0,5.0,626.0,416.0
C100136,40,Nagpur,Telangana,Low,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100137,56,Chennai,Telangana,High,2023,4.0,25065.0,6266.25,0.0,0.0,626.0,89.0
C100138,32,Hyderabad,Rajasthan,High,2024,2.0,12713.0,6356.5,1.0,24.0,0.0,0.0
C100139,46,Kolkata,Tamil Nadu,High,2024,0.0,0.0,0.0,1.0,8.0,0.0,0.0
C100140,53,Nagpur,Maharashtra,Low,2022,0.0,0.0,0.0,4.0,34.0,0.0,0.0
C100141,30,Delhi,Karnataka,High,2023,0.0,0.0,0.0,1.0,22.0,1157.0,791.0
C100142,49,Mumbai,Telangana,Low,2025,0.0,0.0,0.0,0.0,0.0,102.0,286.0
C100143,24,Bengaluru,Gujarat,Medium,2022,1.0,8035.0,8035.0,1.0,14.0,17.0,186.0
C100144,39,Delhi,Gujarat,High,2025,1.0,2112.0,2112.0,1.0,18.0,64.0,103.0
C100145,45,Bengaluru,West Bengal,Medium,2024,1.0,7024.0,7024.0,1.0,13.0,549.0,31.0
C100146,19,Kolkata,Gujarat,Medium,2023,1.0,9867.0,9867.0,0.0,0.0,0.0,0.0
C100147,59,Hyderabad,West Bengal,Low,2022,1.0,4759.0,4759.0,1.0,18.0,131.0,371.0
C100148,23,Bengaluru,Telangana,Medium,2023,2.0,12435.0,6217.5,1.0,5.0,0.0,0.0
C100149,45,Chennai,Delhi,Medium,2023,0.0,0.0,0.0,1.0,10.0,53.0,301.0
C100150,45,Kolkata,Telangana,High,2025,1.0,8970.0,8970.0,3.0,37.0,715.0,350.0
C100151,37,Hyderabad,Tamil Nadu,Medium,2025,4.0,34007.0,8501.75,0.0,0.0,2280.0,938.0
C100152,47,Kolkata,Gujarat,High,2024,0.0,0.0,0.0,2.0,3.0,503.0,466.0
C100153,28,Delhi,Rajasthan,Medium,2025,0.0,0.0,0.0,1.0,20.0,1703.0,759.0
C100154,45,Kolkata,Maharashtra,Low,2025,1.0,3868.0,3868.0,2.0,26.0,445.0,373.0
C100155,42,Delhi,Maharashtra,Medium,2025,1.0,1390.0,1390.0,1.0,9.0,0.0,0.0
C100156,56,Chennai,Rajasthan,Low,2024,1.0,8245.0,8245.0,0.0,0.0,688.0,655.0
C100157,50,Ahmedabad,West Bengal,High,2024,1.0,163.0,163.0,0.0,0.0,695.0,75.0
C100158,18,Chennai,Telangana,High,2025,0.0,0.0,0.0,2.0,21.0,1176.0,438.0
C100159,44,Nagpur,Karnataka,Medium,2022,2.0,14064.0,7032.0,3.0,27.0,289.0,223.0
C100160,30,Delhi,Tamil Nadu,Medium,2025,0.0,0.0,0.0,0.0,0.0,29.0,335.0
C100161,58,Hyderabad,West Bengal,High,2022,0.0,0.0,0.0,1.0,18.0,1047.0,643.0
C100162,20,Jaipur,Telangana,High,2022,2.0,2842.0,1421.0,1.0,9.0,603.0,215.0
C100163,56,Ahmedabad,Rajasthan,High,2025,1.0,686.0,686.0,1.0,11.0,315.0,221.0
C100164,23,Chennai,Tamil Nadu,Low,2023,1.0,6418.0,6418.0,0.0,0.0,893.0,259.0
C100165,25,Jaipur,Rajasthan,Medium,2023,0.0,0.0,0.0,0.0,0.0,1494.0,151.0
C100166,44,Mumbai,Karnataka,High,2024,0.0,0.0,0.0,2.0,15.0,2681.0,761.0
C100167,26,Jaipur,West Bengal,High,2023,1.0,9681.0,9681.0,2.0,22.0,0.0,0.0
C100168,54,Nagpur,Gujarat,Medium,2023,0.0,0.0,0.0,1.0,7.0,0.0,0.0
C100169,50,Nagpur,Tamil Nadu,Medium,2024,1.0,5230.0,5230.0,1.0,9.0,1542.0,54.0
C100170,59,Chennai,West Bengal,Low,2022,0.0,0.0,0.0,0.0,0.0,1469.0,543.0
C100171,41,Jaipur,Tamil Nadu,High,2024,1.0,682.0,682.0,2.0,18.0,0.0,0.0
C100172,32,Bengaluru,Tamil Nadu,Medium,2023,1.0,7459.0,7459.0,2.0,16.0,0.0,0.0
C100173,49,Hyderabad,Gujarat,Low,2025,0.0,0.0,0.0,2.0,27.0,250.0,45.0
C100174,49,Mumbai,West Bengal,High,2024,0.0,0.0,0.0,2.0,23.0,581.0,329.0
C100175,41,Delhi,Maharashtra,Low,2023,2.0,13851.0,6925.5,1.0,23.0,0.0,0.0
C100176,58,Pune,Gujarat,Medium,2024,1.0,2343.0,2343.0,0.0,0.0,389.0,228.0
C100177,29,Bengaluru,Karnataka,Low,2025,1.0,9046.0,9046.0,1.0,17.0,770.0,328.0
C100178,56,Mumbai,West Bengal,High,2025,1.0,5300.0,5300.0,1.0,17.0,0.0,0.0
C100179,19,Mumbai,Rajasthan,Medium,2025,2.0,2556.0,1278.0,0.0,0.0,461.0,251.0
C100180,20,Pune,Rajasthan,High,2023,1.0,7980.0,7980.0,1.0,12.0,1471.0,608.0
C100181,54,Nagpur,Maharashtra,Low,2023,0.0,0.0,0.0,3.0,60.0,789.0,621.0
C100182,34,Mumbai,Rajasthan,Low,2024,1.0,9838.0,9838.0,3.0,57.0,996.0,196.0
C100183,19,Bengaluru,Delhi,Low,2023,0.0,0.0,0.0,2.0,40.0,0.0,0.0
C100184,19,Chennai,Telangana,Medium,2025,1.0,4853.0,4853.0,1.0,9.0,410.0,442.0
C100185,45,Kolkata,West Bengal,Low,2025,1.0,8739.0,8739.0,1.0,23.0,0.0,0.0
C100186,40,Kolkata,Maharashtra,Medium,2023,0.0,0.0,0.0,1.0,11.0,0.0,0.0
C100187,54,Kolkata,Rajasthan,Low,2025,1.0,3513.0,3513.0,1.0,22.0,112.0,471.0
C100188,49,Bengaluru,West Bengal,Low,2025,0.0,0.0,0.0,3.0,57.0,399.0,217.0
C100189,50,Hyderabad,West Bengal,Medium,2023,0.0,0.0,0.0,0.0,0.0,862.0,396.0
C100190,18,Delhi,West Bengal,Medium,2025,1.0,9598.0,9598.0,0.0,0.0,1614.0,780.0
C100191,36,Pune,Gujarat,Medium,2025,0.0,0.0,0.0,1.0,7.0,1026.0,462.0
C100192,19,Ahmedabad,Tamil Nadu,High,2025,0.0,0.0,0.0,1.0,4.0,99.0,73.0
C100193,43,Nagpur,Delhi,Low,2024,0.0,0.0,0.0,0.0,0.0,574.0,85.0
C100194,49,Kolkata,Karnataka,High,2022,0.0,0.0,0.0,1.0,19.0,742.0,363.0
C100195,23,Jaipur,Karnataka,Low,2025,1.0,808.0,808.0,1.0,4.0,75.0,183.0
C100196,49,Nagpur,West Bengal,Low,2022,0.0,0.0,0.0,1.0,9.0,890.0,14.0
C100197,21,Bengaluru,Maharashtra,Low,2025,0.0,0.0,0.0,1.0,16.0,0.0,0.0
C100198,28,Hyderabad,Rajasthan,Low,2024,0.0,0.0,0.0,0.0,0.0,637.0,400.0
C100199,34,Hyderabad,Gujarat,High,2025,2.0,14163.0,7081.5,0.0,0.0,0.0,0.0
C100200,55,Kolkata,West Bengal,Low,2024,0.0,0.0,0.0,1.0,13.0,2441.0,1427.0
C100201,41,Jaipur,Tamil Nadu,High,2022,0.0,0.0,0.0,1.0,15.0,0.0,0.0
C100202,22,Ahmedabad,Tamil Nadu,Medium,2024,3.0,8230.0,2743.3333333333335,1.0,20.0,350.0,90.0
C100203,51,Kolkata,West Bengal,High,2023,0.0,0.0,0.0,1.0,7.0,503.0,120.0
C100204,23,Pune,Karnataka,Low,2024,1.0,4041.0,4041.0,2.0,29.0,0.0,0.0
C100205,39,Nagpur,Rajasthan,High,2022,0.0,0.0,0.0,4.0,78.0,312.0,324.0
C100206,28,Chennai,Tamil Nadu,High,2023,1.0,3658.0,3658.0,1.0,18.0,0.0,0.0
C100207,33,Nagpur,Telangana,Medium,2022,1.0,5197.0,5197.0,2.0,22.0,0.0,0.0
C100208,50,Jaipur,Maharashtra,Medium,2022,3.0,16116.0,5372.0,3.0,54.0,748.0,659.0
C100209,26,Kolkata,Maharashtra,Medium,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100210,23,Pune,Tamil Nadu,Low,2025,2.0,6086.0,3043.0,0.0,0.0,731.0,224.0
C100211,33,Jaipur,Karnataka,High,2025,1.0,3304.0,3304.0,1.0,12.0,245.0,248.0
C100212,46,Delhi,Gujarat,High,2022,0.0,0.0,0.0,2.0,25.0,788.0,39.0
C100213,20,Jaipur,West Bengal,Medium,2022,0.0,0.0,0.0,1.0,12.0,690.0,385.0
C100214,37,Bengaluru,Telangana,Low,2022,3.0,9961.0,3320.3333333333335,1.0,19.0,612.0,293.0
C100215,53,Jaipur,Telangana,Low,2022,2.0,14292.0,7146.0,0.0,0.0,0.0,0.0
C100216,36,Ahmedabad,West Bengal,Low,2024,1.0,1498.0,1498.0,1.0,8.0,2240.0,1229.0
C100217,43,Kolkata,Gujarat,Medium,2025,1.0,5664.0,5664.0,0.0,0.0,0.0,0.0
C100218,20,Bengaluru,Telangana,Low,2022,1.0,178.0,178.0,1.0,1.0,0.0,0.0
C100219,36,Jaipur,Delhi,Low,2025,1.0,3988.0,3988.0,0.0,0.0,1199.0,294.0
C100220,37,Bengaluru,Tamil Nadu,Low,2024,1.0,8491.0,8491.0,1.0,17.0,0.0,0.0
C100221,49,Pune,Telangana,Medium,2025,0.0,0.0,0.0,2.0,13.0,96.0,218.0
C100222,24,Chennai,Gujarat,Medium,2022,2.0,18919.0,9459.5,0.0,0.0,0.0,0.0
C100223,58,Bengaluru,Rajasthan,High,2022,1.0,2217.0,2217.0,0.0,0.0,0.0,0.0
C100224,50,Nagpur,Tamil Nadu,High,2024,0.0,0.0,0.0,1.0,8.0,915.0,871.0
C100225,57,Delhi,Karnataka,High,2025,2.0,9137.0,4568.5,1.0,19.0,0.0,0.0
C100226,56,Hyderabad,Karnataka,Medium,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100227,35,Delhi,West Bengal,High,2025,2.0,8751.0,4375.5,0.0,0.0,2586.0,1294.0
C100228,57,Jaipur,Karnataka,Low,2023,1.0,1147.0,1147.0,4.0,34.0,1082.0,496.0
C100229,18,Chennai,Delhi,Medium,2023,0.0,0.0,0.0,2.0,15.0,1500.0,604.0
C100230,28,Delhi,Karnataka,Medium,2022,2.0,10096.0,5048.0,1.0,11.0,713.0,180.0
C100231,45,Hyderabad,Tamil Nadu,High,2023,0.0,0.0,0.0,2.0,24.0,716.0,350.0
C100232,42,Ahmedabad,Maharashtra,Low,2022,2.0,1745.0,872.5,1.0,19.0,0.0,0.0
C100233,40,Ahmedabad,Maharashtra,Low,2025,1.0,6873.0,6873.0,1.0,2.0,1337.0,599.0
C100234,48,Chennai,Tamil Nadu,Medium,2025,1.0,1431.0,1431.0,0.0,0.0,0.0,0.0
C100235,47,Hyderabad,Maharashtra,Medium,2025,0.0,0.0,0.0,0.0,0.0,927.0,200.0
C100236,59,Hyderabad,Telangana,High,2022,0.0,0.0,0.0,0.0,0.0,499.0,541.0
C100237,52,Pune,Maharashtra,Low,2023,0.0,0.0,0.0,0.0,0.0,99.0,83.0
C100238,24,Mumbai,Gujarat,Medium,2024,2.0,9084.0,4542.0,1.0,23.0,0.0,0.0
C100239,33,Bengaluru,Delhi,Low,2024,1.0,8227.0,8227.0,0.0,0.0,454.0,459.0
C100240,43,Chennai,Rajasthan,Medium,2024,2.0,16277.0,8138.5,1.0,13.0,963.0,248.0
C100241,19,Kolkata,Karnataka,High,2025,1.0,4945.0,4945.0,1.0,24.0,0.0,0.0
C100242,18,Pune,Maharashtra,Medium,2025,1.0,2751.0,2751.0,1.0,2.0,1436.0,365.0
C100243,29,Ahmedabad,Maharashtra,Medium,2025,0.0,0.0,0.0,3.0,20.0,0.0,0.0
C100244,22,Pune,Gujarat,Medium,2024,2.0,8359.0,4179.5,3.0,24.0,459.0,225.0
C100245,54,Jaipur,Rajasthan,High,2025,0.0,0.0,0.0,1.0,20.0,0.0,0.0
C100246,49,Bengaluru,West Bengal,High,2023,1.0,2616.0,2616.0,3.0,30.0,0.0,0.0
C100247,26,Kolkata,Delhi,High,2023,2.0,15498.0,7749.0,1.0,19.0,0.0,0.0
C100248,58,Chennai,West Bengal,Medium,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100249,52,Jaipur,Delhi,Medium,2023,1.0,1228.0,1228.0,3.0,39.0,797.0,25.0
C100250,36,Mumbai,Maharashtra,Low,2023,0.0,0.0,0.0,0.0,0.0,771.0,361.0
C100251,33,Kolkata,Telangana,High,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100252,20,Hyderabad,Maharashtra,High,2025,1.0,5807.0,5807.0,2.0,24.0,0.0,0.0
C100253,37,Kolkata,Telangana,Medium,2022,0.0,0.0,0.0,2.0,36.0,0.0,0.0
C100254,41,Pune,West Bengal,High,2023,2.0,18014.0,9007.0,1.0,5.0,884.0,233.0
C100255,50,Nagpur,Gujarat,Low,2023,1.0,9137.0,9137.0,2.0,24.0,0.0,0.0
